time(UTC),Year,Month,Day,Hour(UTC),Hour Taxila,G(h),Gd(h),T2m,RH,Gb(n),IR(h),WS10m,WD10m,SP,,,,,,
20050806:1100,2005,08,06,11,16,274.8,166.9,28.39,72.1,179.45,443.55,3.79,133,92530,,,,,,
20050806:1200,2005,08,06,12,17,110.35,81.55,28.54,72.1,69.45,435.45,3.59,121,92510,,,,,,
20050806:1300,2005,08,06,13,18,31.7,25.2,28.27,74.4,30.84,440.85,2.83,129,92510,,,,,,
20050806:1400,2005,08,06,14,19,0,0,27.57,76.8,0,431,2.34,135,92500,,,,,,
20050806:1500,2005,08,06,15,20,0,0,26.78,81.85,0,417.65,1.66,123,92580,,,,,,
20050806:1600,2005,08,06,16,21,0,0,26.07,84.5,0,413,1.45,115,92620,,,,,,
20050806:1700,2005,08,06,17,22,0,0,25.55,90.2,0,412,1.31,109,92630,,,,,,
20050806:1800,2005,08,06,18,23,0,0,25.14,93.15,0,413.2,0.97,101,92630,,,,,,
20050806:1900,2005,08,06,19,0,0,0,25.04,90.15,0,413.95,0.97,119,92660,,,,,,
20050806:2000,2005,08,06,20,1,0,0,24.79,96.2,0,414.9,0.76,89,92650,,,,,,
20050806:2100,2005,08,06,21,2,0,0,24.63,93.1,0,411.85,1.24,75,92620,,,,,,
20050806:2200,2005,08,06,22,3,0,0,24.33,90.1,0,408.15,1.38,59,92570,,,,,,
20050806:2300,2005,08,06,23,4,0,0,23.99,90.1,0,412.6,1.79,39,92580,,,,,,
20050807:0000,2005,08,07,00,5,0,0,23.6,90.05,0,401.4,1.59,84,92540,,,,,,
20050807:0100,2005,08,07,01,6,76.9,49.45,23.5,93.05,256.07,403.05,0.48,156,92600,,,,,,
20050807:0200,2005,08,07,02,7,206.65,122.2,23.28,87.1,268.2,414.35,0.34,76,92650,,,,,,
20050807:0300,2005,08,07,03,8,270.85,188.6,24.04,84.35,160.7,416.1,2.21,52,92700,,,,,,
20050807:0400,2005,08,07,04,9,446.7,197.6,25.16,81.7,363.84,424.8,1.79,68,92710,,,,,,
20050807:0500,2005,08,07,05,10,669.4,212.3,26.77,74.15,556.4,420.35,1.24,74,92720,,,,,,
20050807:0600,2005,08,07,06,11,489.2,280.35,28.15,67.4,228.71,424.6,0.69,91,92700,,,,,,
20050807:0700,2005,08,07,07,12,657,266.7,28.73,67.5,409.41,440.1,3.03,151,92660,,,,,,
20050807:0800,2005,08,07,08,13,568.7,251.45,28.63,67.5,337.78,430.2,3.79,167,92660,,,,,,
20050807:0900,2005,08,07,09,14,567.45,207.35,28.38,67.5,413.02,434.45,3.17,139,92660,,,,,,
20050807:1000,2005,08,07,10,15,436.2,152.25,28.8,72.1,375.68,422.3,3.24,154,92610,,,,,,
20050807:1100,2005,08,07,11,16,266.6,146.95,27.94,69.65,199.74,430.4,3.03,154,92590,,,,,,
20050807:1200,2005,08,07,12,17,127.75,81.05,25.63,79.1,113.31,430.2,3.17,116,92640,,,,,,
20050807:1300,2005,08,07,13,18,24.35,20.5,24.35,84.35,18.52,425.2,2.21,92,92690,,,,,,
20050807:1400,2005,08,07,14,19,0,0,24,87.15,0,421.5,1.31,115,92760,,,,,,
20050807:1500,2005,08,07,15,20,0,0,24.13,87.15,0,417.85,1.66,87,92850,,,,,,
20050807:1600,2005,08,07,16,21,0,0,24.11,87.15,0,410.1,1.72,61,92900,,,,,,
20050807:1700,2005,08,07,17,22,0,0,24.08,87.15,0,411.45,1.24,63,92920,,,,,,
20050807:1800,2005,08,07,18,23,0,0,23.54,90.05,0,412.4,0.07,352,92940,,,,,,
20050807:1900,2005,08,07,19,0,0,0,22.34,90.05,0,412,1.1,355,93010,,,,,,
20050807:2000,2005,08,07,20,1,0,0,21.86,93.05,0,410.45,1.24,28,93020,,,,,,
20050807:2100,2005,08,07,21,2,0,0,21.58,93,0,412.2,1.45,44,93020,,,,,,
20050807:2200,2005,08,07,22,3,0,0,21.41,93,0,411.85,1.17,43,93010,,,,,,
20050807:2300,2005,08,07,23,4,0,0,21.05,93,0,409.7,1.38,23,93030,,,,,,
20050808:0000,2005,08,08,00,5,0,0,21.11,93,0,414.9,1.66,30,93010,,,,,,
20050808:0100,2005,08,08,01,6,37.9,32.75,21.4,93,49.07,412.3,1.03,54,93050,,,,,,
20050808:0200,2005,08,08,02,7,52.25,50.9,22.11,90,4.31,407.55,0.21,63,93130,,,,,,
20050808:0300,2005,08,08,03,8,48.8,48.8,22.24,90,0,423.05,0.28,350,93170,,,,,,
20050808:0400,2005,08,08,04,9,71,70.9,22.2,90,0.15,424.6,0.76,71,93210,,,,,,
20050808:0500,2005,08,08,05,10,216.4,204.3,22.52,87.1,14.75,423.65,2,88,93240,,,,,,
20050808:0600,2005,08,08,06,11,522.35,351.3,23.49,81.5,187.6,422.3,2.21,89,93260,,,,,,
20050808:0700,2005,08,08,07,12,634.2,354.6,25.46,74,293.74,423.65,1.31,147,93270,,,,,,
20050808:0800,2005,08,08,08,13,529.15,349.75,26.42,74.15,191.33,424.2,1.72,123,93240,,,,,,
20050808:0900,2005,08,08,09,14,564.5,240.95,26.83,71.85,371.86,432.75,1.52,114,93190,,,,,,
20050808:1000,2005,08,08,10,15,382.2,181.6,27.51,69.6,266.12,426.35,1.38,122,93120,,,,,,
20050808:1100,2005,08,08,11,16,350.3,172.9,27.68,69.6,297.31,421.5,1.59,150,93070,,,,,,
20050808:1200,2005,08,08,12,17,179.2,87.05,27.7,69.6,225.04,426.15,1.66,179,93080,,,,,,
20050808:1300,2005,08,08,13,18,37.25,24.5,26.47,71.75,62.22,416.1,0.62,213,93090,,,,,,
20050808:1400,2005,08,08,14,19,0,0,25.86,74.1,0,415.7,0.9,352,93140,,,,,,
20050808:1500,2005,08,08,15,20,0,0,24.87,81.7,0,398.3,1.31,11,93160,,,,,,
20050808:1600,2005,08,08,16,21,0,0,24.06,87.15,0,394,1.52,9,93220,,,,,,
20050808:1700,2005,08,08,17,22,0,0,23.49,90.05,0,393.45,1.45,5,93230,,,,,,
20050808:1800,2005,08,08,18,23,0,0,22.96,90.05,0,388.8,1.31,12,93210,,,,,,
20050808:1900,2005,08,08,19,0,0,0,22.86,90.05,0,384.75,1.52,357,93220,,,,,,
20050808:2000,2005,08,08,20,1,0,0,22.44,93.05,0,380.3,1.52,9,93210,,,,,,
20050808:2100,2005,08,08,21,2,0,0,21.98,93.05,0,377.75,1.38,20,93180,,,,,,
20050808:2200,2005,08,08,22,3,0,0,21.5,96.15,0,376,1.17,20,93180,,,,,,
20050808:2300,2005,08,08,23,4,0,0,21.17,96.15,0,377.2,1.03,7,93190,,,,,,
20050809:0000,2005,08,09,00,5,0,0,20.98,96.15,0,376,1.17,3,93190,,,,,,
20050809:0100,2005,08,09,01,6,124.5,58.5,21.03,96.15,642.7,373.25,1.24,6,93250,,,,,,
20050809:0200,2005,08,09,02,7,303.35,97.6,23.28,87.1,661.69,375.65,1.03,346,93280,,,,,,
20050809:0300,2005,08,09,03,8,508.3,120.55,25.25,76.45,762.7,383,1.38,323,93290,,,,,,
20050809:0400,2005,08,09,04,9,680.9,144.4,26.68,69.4,787.16,387.85,1.59,314,93320,,,,,,
20050809:0500,2005,08,09,05,10,761.1,152.75,27.95,61,743.1,398.65,1.79,305,93320,,,,,,
20050809:0600,2005,08,09,06,11,898.75,154.15,28.85,55.4,817.92,399.85,1.79,296,93300,,,,,,
20050809:0700,2005,08,09,07,12,891.3,182.65,29.74,55.5,745.64,404.45,2,293,93240,,,,,,
20050809:0800,2005,08,09,08,13,848.5,153.85,30.28,52.05,742.12,410.65,1.72,289,93200,,,,,,
20050809:0900,2005,08,09,09,14,738.3,147.45,30.73,50.45,680.5,408.9,1.45,282,93170,,,,,,
20050809:1000,2005,08,09,10,15,576.85,126.1,31.01,47.25,599.65,410.45,0.97,273,93120,,,,,,
20050809:1100,2005,08,09,11,16,394.3,106,30.98,47.25,485.12,407.95,0.55,236,93090,,,,,,
20050809:1200,2005,08,09,12,17,202.05,75.75,30.86,45.7,310.51,409.1,0,0,93050,,,,,,
20050809:1300,2005,08,09,13,18,44.9,27.35,30.33,50.3,86.94,403.9,0,0,93060,,,,,,
20050809:1400,2005,08,09,14,19,0,0,28.95,59.2,0,396.55,0.69,96,93070,,,,,,
20050809:1500,2005,08,09,15,20,0,0,26.98,71.85,0,391.3,1.52,79,93120,,,,,,
20050809:1600,2005,08,09,16,21,0,0,25.7,76.5,0,391.1,1.66,70,93140,,,,,,
20050809:1700,2005,08,09,17,22,0,0,24.63,81.65,0,385.1,1.66,66,93120,,,,,,
20050809:1800,2005,08,09,18,23,0,0,23.76,87.1,0,383.55,1.45,60,93110,,,,,,
20050809:1900,2005,08,09,19,0,0,0,23.47,87.1,0,381.65,1.38,74,93120,,,,,,
20050809:2000,2005,08,09,20,1,0,0,23.01,87.1,0,379.7,1.38,70,93080,,,,,,
20050809:2100,2005,08,09,21,2,0,0,22.6,87.1,0,378.15,1.45,66,93070,,,,,,
20050809:2200,2005,08,09,22,3,0,0,22.21,90,0,378.95,1.52,64,93050,,,,,,
20050809:2300,2005,08,09,23,4,0,0,21.84,90,0,377.4,1.52,64,93080,,,,,,
20050810:0000,2005,08,10,00,5,0,0,21.53,89.95,0,378.55,1.52,65,93080,,,,,,
20050810:0100,2005,08,10,01,6,123.3,57.75,21.42,89.95,652.68,376.7,1.31,64,93110,,,,,,
20050810:0200,2005,08,10,02,7,310.7,98.05,23.97,87.15,688.24,378.75,0.69,74,93150,,,,,,
20050810:0300,2005,08,10,03,8,510.9,119.95,26.71,67.15,771.63,387.45,0.34,137,93150,,,,,,
20050810:0400,2005,08,10,04,9,686.1,136.55,28.12,61,808.16,395.95,0.48,242,93200,,,,,,
20050810:0500,2005,08,10,05,10,758.9,142.6,29.25,57.3,754.16,402.9,0.76,255,93200,,,,,,
20050810:0600,2005,08,10,06,11,859.45,159.5,30.06,53.8,770.1,412.6,1.1,250,93150,,,,,,
20050810:0700,2005,08,10,07,12,786.45,165.85,30.8,53.9,654.05,416.45,1.52,263,93070,,,,,,
20050810:0800,2005,08,10,08,13,846.65,152.35,31.2,52.25,743.08,419.2,1.52,250,93000,,,,,,
20050810:0900,2005,08,10,09,14,739.2,141.5,31.73,50.7,689.9,418.4,1.45,232,92960,,,,,,
20050810:1000,2005,08,10,10,15,526.85,125.25,31.95,47.5,535.81,420.55,1.38,212,92910,,,,,,
20050810:1100,2005,08,10,11,16,382.5,114.4,31.94,47.5,453.03,421.7,1.38,195,92850,,,,,,
20050810:1200,2005,08,10,12,17,187.25,75.35,31.72,49,277.03,418.6,1.45,188,92820,,,,,,
20050810:1300,2005,08,10,13,18,41.35,25.6,30.97,52.25,79.25,416.85,0.97,169,92810,,,,,,
20050810:1400,2005,08,10,14,19,0,0,29.61,61.35,0,413.4,1.1,126,92830,,,,,,
20050810:1500,2005,08,10,15,20,0,0,27.94,69.65,0,407.4,1.72,97,92870,,,,,,
20050810:1600,2005,08,10,16,21,0,0,26.85,74.25,0,407.75,1.86,93,92920,,,,,,
20050810:1700,2005,08,10,17,22,0,0,25.92,79.15,0,402.95,1.72,86,92920,,,,,,
20050810:1800,2005,08,10,18,23,0,0,25.26,84.4,0,399.25,1.66,83,92910,,,,,,
20050810:1900,2005,08,10,19,0,0,0,24.83,84.4,0,402.55,1.45,79,92890,,,,,,
20050810:2000,2005,08,10,20,1,0,0,24.51,87.2,0,397.3,1.45,82,92900,,,,,,
20050810:2100,2005,08,10,21,2,0,0,24.21,90.1,0,396.55,1.45,85,92890,,,,,,
20050810:2200,2005,08,10,22,3,0,0,23.99,87.15,0,396.55,1.45,87,92890,,,,,,
20050810:2300,2005,08,10,23,4,0,0,23.83,87.15,0,395.75,1.59,77,92920,,,,,,
20050811:0000,2005,08,11,00,5,0,0,23.63,87.1,0,395.4,1.72,73,92920,,,,,,
20050811:0100,2005,08,11,01,6,105.4,50.85,23.68,87.1,555.7,402.05,1.59,71,92950,,,,,,
20050811:0200,2005,08,11,02,7,283.25,96.95,25.5,79.1,606.85,394.6,1.31,81,92980,,,,,,
20050811:0300,2005,08,11,03,8,494.65,128.25,27.56,69.6,725.67,407.2,1.1,105,93010,,,,,,
20050811:0400,2005,08,11,04,9,625,138.65,28.93,63.3,716.88,415.5,0.55,150,93030,,,,,,
20050811:0500,2005,08,11,05,10,675.9,167.95,29.75,59.35,622.71,422.45,0.69,205,93040,,,,,,
20050811:0600,2005,08,11,06,11,818.9,184.85,30.33,59.45,698.74,432.75,1.17,209,93030,,,,,,
20050811:0700,2005,08,11,07,12,802.7,215.95,31.36,59.65,619.4,432.75,1.79,211,92970,,,,,,
20050811:0800,2005,08,11,08,13,765.7,193.75,31.5,57.85,613.28,434.65,1.72,207,92910,,,,,,
20050811:0900,2005,08,11,09,14,612.2,185.75,31.91,56.1,493.35,441.05,1.38,173,92890,,,,,,
20050811:1000,2005,08,11,10,15,502.95,151.1,32.1,56.1,470.85,445.5,1.72,170,92810,,,,,,
20050811:1100,2005,08,11,11,16,275.55,132.8,31.79,57.85,242.27,441.85,2.14,186,92760,,,,,,
20050811:1200,2005,08,11,12,17,130.5,81.05,29.33,65.4,123.31,434.3,2.83,196,92790,,,,,,
20050811:1300,2005,08,11,13,18,32.5,21.05,27.65,74.3,58.56,433.3,0.83,213,92840,,,,,,
20050811:1400,2005,08,11,14,19,0,0,26.91,79.3,0,428.1,1.03,48,92850,,,,,,
20050811:1500,2005,08,11,15,20,0,0,26.33,81.85,0,422.65,1.86,63,92860,,,,,,
20050811:1600,2005,08,11,16,21,0,0,25.95,81.8,0,412,1.93,67,92910,,,,,,
20050811:1700,2005,08,11,17,22,0,0,25.55,84.45,0,408.9,1.59,60,92920,,,,,,
20050811:1800,2005,08,11,18,23,0,0,25.09,87.25,0,411.25,1.31,47,92930,,,,,,
20050811:1900,2005,08,11,19,0,0,0,24.56,93.1,0,402.75,1.24,62,92870,,,,,,
20050811:2000,2005,08,11,20,1,0,0,24.12,96.2,0,401.4,1.24,62,92870,,,,,,
20050811:2100,2005,08,11,21,2,0,0,23.82,93.1,0,400.2,1.31,64,92850,,,,,,
20050811:2200,2005,08,11,22,3,0,0,23.63,96.2,0,401.75,1.24,64,92900,,,,,,
20050811:2300,2005,08,11,23,4,0,0,23.64,93.05,0,405.65,1.38,55,92890,,,,,,
20050812:0000,2005,08,12,00,5,0,0,23.5,93.05,0,403.7,1.45,48,92920,,,,,,
20050812:0100,2005,08,12,01,6,114.2,59.75,23.67,93.05,567.81,403.05,1.59,52,92950,,,,,,
20050812:0200,2005,08,12,02,7,276,104.5,26,81.8,562.28,403.1,1.24,63,92970,,,,,,
20050812:0300,2005,08,12,03,8,443.2,139.6,28.04,67.4,603.4,414.9,0.97,88,93000,,,,,,
20050812:0400,2005,08,12,04,9,521.15,190.15,28.89,63.3,489.05,421.7,0.55,237,93060,,,,,,
20050812:0500,2005,08,12,05,10,681.7,212.05,29.42,63.4,576.83,427.1,1.72,254,93100,,,,,,
20050812:0600,2005,08,12,06,11,810.7,184.45,29.95,63.5,691.31,435.45,2,258,93080,,,,,,
20050812:0700,2005,08,12,07,12,872.05,180.6,31.62,57.85,731.17,437.75,1.52,231,93050,,,,,,
20050812:0800,2005,08,12,08,13,755.15,163.05,32.31,56.1,636.1,440.1,1.45,221,93010,,,,,,
20050812:0900,2005,08,12,09,14,705.3,176.2,32.6,54.4,613.55,440.1,1.52,223,92970,,,,,,
20050812:1000,2005,08,12,10,15,552.55,132,32.84,54.4,564.54,440.65,1.59,216,92930,,,,,,
20050812:1100,2005,08,12,11,16,342.6,108.9,32.67,54.4,398.41,441.45,1.38,239,92910,,,,,,
20050812:1200,2005,08,12,12,17,142.65,60.65,31.67,55.95,206,443.95,1.45,291,92900,,,,,,
20050812:1300,2005,08,12,13,18,31.9,21.05,30.24,63.5,56.44,439.1,0.83,321,92930,,,,,,
20050812:1400,2005,08,12,14,19,0,0,28.78,72.1,0,432.75,0.62,98,92980,,,,,,
20050812:1500,2005,08,12,15,20,0,0,27.48,79.35,0,426.55,1.1,101,93050,,,,,,
20050812:1600,2005,08,12,16,21,0,0,26.82,81.9,0,423.65,1.38,85,93100,,,,,,
20050812:1700,2005,08,12,17,22,0,0,26.22,87.3,0,417.25,1.45,64,93110,,,,,,
20050812:1800,2005,08,12,18,23,0,0,25.75,90.2,0,414.9,1.17,41,93100,,,,,,
20050812:1900,2005,08,12,19,0,0,0,25.79,84.45,0,409.1,1.52,20,93100,,,,,,
20050812:2000,2005,08,12,20,1,0,0,25.36,84.45,0,410.65,1.45,21,93060,,,,,,
20050812:2100,2005,08,12,21,2,0,0,24.92,87.25,0,410.3,1.31,36,93060,,,,,,
20050812:2200,2005,08,12,22,3,0,0,24.57,90.1,0,410.85,1.1,47,93050,,,,,,
20050812:2300,2005,08,12,23,4,0,0,24.09,93.1,0,403.9,0.76,45,93090,,,,,,
20050813:0000,2005,08,13,00,5,0,0,23.86,96.2,0,404.3,0.48,40,93110,,,,,,
20050813:0100,2005,08,13,01,6,109.55,59.55,24.12,93.1,534.07,409.4,0.9,47,93170,,,,,,
20050813:0200,2005,08,13,02,7,277.15,92.15,26.17,81.8,610.53,405.25,0.83,40,93210,,,,,,
20050813:0300,2005,08,13,03,8,496.7,119.6,28.28,67.4,752.12,415.1,0.76,26,93250,,,,,,
20050813:0400,2005,08,13,04,9,667.1,136.75,29.84,59.35,785.46,418.6,0.69,339,93260,,,,,,
20050813:0500,2005,08,13,05,10,778,149.15,31.03,54.05,773.83,426.35,1.17,296,93260,,,,,,
20050813:0600,2005,08,13,06,11,863.75,161.85,31.85,54.15,776.16,430,1.72,286,93230,,,,,,
20050813:0700,2005,08,13,07,12,883.3,177.8,32.44,50.9,747.35,434.45,1.79,295,93230,,,,,,
20050813:0800,2005,08,13,08,13,750.95,182.05,33.12,47.75,612.39,437.95,1.66,295,93170,,,,,,
20050813:0900,2005,08,13,09,14,701.45,149.05,33.47,44.8,642.13,442.8,1.45,289,93090,,,,,,
20050813:1000,2005,08,13,10,15,576.3,126.65,33.71,44.8,605.55,438.35,1.17,279,93040,,,,,,
20050813:1100,2005,08,13,11,16,384.35,104.7,33.75,44.8,478.96,434.45,1.03,269,93030,,,,,,
20050813:1200,2005,08,13,12,17,172.5,71,33.47,44.8,256.96,435.85,1.03,283,93000,,,,,,
20050813:1300,2005,08,13,13,18,33.9,21.75,32.8,49.25,64.33,433.3,0.97,303,93010,,,,,,
20050813:1400,2005,08,13,14,19,0,0,31.33,59.65,0,425.2,1.03,354,93000,,,,,,
20050813:1500,2005,08,13,15,20,0,0,29.39,69.95,0,419.2,1.24,24,93010,,,,,,
20050813:1600,2005,08,13,16,21,0,0,28.37,72.1,0,410.65,1.45,28,93030,,,,,,
20050813:1700,2005,08,13,17,22,0,0,27.49,76.8,0,410.1,1.59,29,92990,,,,,,
20050813:1800,2005,08,13,18,23,0,0,26.69,79.2,0,407.2,1.66,38,92960,,,,,,
20050813:1900,2005,08,13,19,0,0,0,25.86,81.8,0,403.3,1.52,70,92960,,,,,,
20050813:2000,2005,08,13,20,1,0,0,25.38,84.45,0,403.5,1.52,78,92970,,,,,,
20050813:2100,2005,08,13,21,2,0,0,25.06,84.4,0,403.5,1.59,77,92980,,,,,,
20050813:2200,2005,08,13,22,3,0,0,24.88,84.4,0,403.3,1.72,69,93020,,,,,,
20050813:2300,2005,08,13,23,4,0,0,24.7,84.35,0,403.5,1.86,66,93000,,,,,,
20050814:0000,2005,08,14,00,5,0,0,24.57,84.35,0,402.95,1.86,68,93040,,,,,,
20050814:0100,2005,08,14,01,6,115.7,55.45,24.52,84.35,659.61,402.45,1.72,72,93040,,,,,,
20050814:0200,2005,08,14,02,7,302.95,93.35,26.72,79.2,696.32,404.85,1.24,88,93090,,,,,,
20050814:0300,2005,08,14,03,8,500.9,117.55,29.47,61.35,767.31,412.4,1.24,130,93120,,,,,,
20050814:0400,2005,08,14,04,9,623.15,139.65,30.72,59.55,717.81,423.45,1.03,160,93120,,,,,,
20050814:0500,2005,08,14,05,10,701.3,155.95,31.61,55.95,672.38,437,0.83,195,93130,,,,,,
20050814:0600,2005,08,14,06,11,810.05,172.6,32.48,52.65,706.14,440.3,0.97,212,93120,,,,,,
20050814:0700,2005,08,14,07,12,701.15,222.9,32.98,49.4,507.54,443,0.97,225,93080,,,,,,
20050814:0800,2005,08,14,08,13,753.15,180.25,33.43,47.9,617.97,454.2,1.03,223,93020,,,,,,
20050814:0900,2005,08,14,09,14,703.75,147.5,34.04,47.9,648.23,453.85,1.24,217,92950,,,,,,
20050814:1000,2005,08,14,10,15,538.6,130.7,34.4,44.95,551.15,445.9,1.52,210,92900,,,,,,
20050814:1100,2005,08,14,11,16,369.4,112.1,34.36,46.35,442.8,444.9,1.59,210,92840,,,,,,
20050814:1200,2005,08,14,12,17,184.25,74.4,34.09,46.35,280.32,436.4,1.45,214,92810,,,,,,
20050814:1300,2005,08,14,13,18,35.9,22.2,33.44,47.9,73.89,432.55,0.97,217,92800,,,,,,
20050814:1400,2005,08,14,14,19,0,0,32.3,54.25,0,425.35,0.34,161,92800,,,,,,
20050814:1500,2005,08,14,15,20,0,0,29.95,72.35,0,419.75,1.1,85,92820,,,,,,
20050814:1600,2005,08,14,16,21,0,0,29.23,69.85,0,416.65,1.72,74,92850,,,,,,
20050814:1700,2005,08,14,17,22,0,0,28,74.4,0,413.95,1.86,78,92850,,,,,,
20050814:1800,2005,08,14,18,23,0,0,27.26,79.3,0,412.8,2,89,92840,,,,,,
20050814:1900,2005,08,14,19,0,0,0,26.65,81.85,0,409.3,1.59,86,92800,,,,,,
20050814:2000,2005,08,14,20,1,0,0,26.35,81.85,0,407.4,1.66,88,92780,,,,,,
20050814:2100,2005,08,14,21,2,0,0,26.18,84.5,0,412.2,1.72,84,92740,,,,,,
20050814:2200,2005,08,14,22,3,0,0,26.14,81.8,0,412,1.93,81,92730,,,,,,
20050814:2300,2005,08,14,23,4,0,0,26,81.8,0,410.45,2.07,79,92730,,,,,,
20050815:0000,2005,08,15,00,5,0,0,25.95,81.8,0,410.3,2.21,81,92720,,,,,,
20050815:0100,2005,08,15,01,6,105.2,50.9,26.17,81.8,609.69,415.25,2.21,83,92750,,,,,,
20050815:0200,2005,08,15,02,7,288.3,91.35,27.78,76.8,658.68,420.35,2,91,92770,,,,,,
20050815:0300,2005,08,15,03,8,469.6,118.35,29.95,65.6,705.59,420.15,2.14,114,92820,,,,,,
20050815:0400,2005,08,15,04,9,554,158.15,31.16,61.65,589.14,435.65,1.93,139,92840,,,,,,
20050815:0500,2005,08,15,05,10,596.8,187.15,31.67,57.85,506.07,442.4,1.38,159,92860,,,,,,
20050815:0600,2005,08,15,06,11,759,211.05,32.23,56.1,608.1,451.5,1.45,170,92870,,,,,,
20050815:0700,2005,08,15,07,12,725.45,178.05,33.18,52.75,582.01,458.45,1.66,188,92900,,,,,,
20050815:0800,2005,08,15,08,13,756.9,173.05,33.77,49.5,631.11,461.55,2,178,92840,,,,,,
20050815:0900,2005,08,15,09,14,675.3,154.8,34.18,51.15,608.14,455,2.34,171,92810,,,,,,
20050815:1000,2005,08,15,10,15,505.05,136.05,34.52,49.6,500.3,458.1,2.28,168,92760,,,,,,
20050815:1100,2005,08,15,11,16,332.25,108.65,34.41,49.6,386.72,462.55,1.93,167,92720,,,,,,
20050815:1200,2005,08,15,12,17,153.35,65.9,34.19,51.15,225,453.85,1.79,155,92720,,,,,,
20050815:1300,2005,08,15,13,18,25.7,16.6,33.18,52.75,50.03,449,2.28,133,92760,,,,,,
20050815:1400,2005,08,15,14,19,0,0,31.12,61.65,0,448,2.9,114,92840,,,,,,
20050815:1500,2005,08,15,15,20,0,0,29.02,72.15,0,443.35,3.17,110,92900,,,,,,
20050815:1600,2005,08,15,16,21,0,0,28.17,76.85,0,437.35,2.83,115,92970,,,,,,
20050815:1700,2005,08,15,17,22,0,0,27.8,79.35,0,439.3,2.34,109,93010,,,,,,
20050815:1800,2005,08,15,18,23,0,0,27.16,79.3,0,435.25,2.28,91,93030,,,,,,
20050815:1900,2005,08,15,19,0,0,0,26.33,84.55,0,431.95,1.79,105,93100,,,,,,
20050815:2000,2005,08,15,20,1,0,0,25.65,90.2,0,430.2,2,89,93090,,,,,,
20050815:2100,2005,08,15,21,2,0,0,25.08,90.15,0,435.05,2.07,70,93120,,,,,,
20050815:2200,2005,08,15,22,3,0,0,24.56,90.1,0,435.45,1.45,50,93130,,,,,,
20050815:2300,2005,08,15,23,4,0,0,24.16,96.2,0,440.3,1.59,46,93140,,,,,,
20050816:0000,2005,08,16,00,5,0,0,23.83,93.1,0,435.45,1.79,68,93160,,,,,,
20050816:0100,2005,08,16,01,6,30.3,29.95,23.75,96.2,4.03,434.75,1.52,73,93220,,,,,,
20050816:0200,2005,08,16,02,7,55.3,52.55,24.04,93.1,9.26,437,1.31,74,93310,,,,,,
20050816:0300,2005,08,16,03,8,191.45,167.6,24.39,90.1,48.08,438.15,1.03,67,93330,,,,,,
20050816:0400,2005,08,16,04,9,270.4,202.35,25.2,84.4,101.53,431.75,1.45,70,93350,,,,,,
20050816:0500,2005,08,16,05,10,365.45,193.15,25.67,79.1,213.29,435.25,1.59,67,93360,,,,,,
20050816:0600,2005,08,16,06,11,452.1,237.7,26.69,74.15,238.38,442,1.66,59,93370,,,,,,
20050816:0700,2005,08,16,07,12,695.1,188.95,27.8,71.9,539.19,442,0.76,68,93340,,,,,,
20050816:0800,2005,08,16,08,13,694.4,179.15,29.23,67.6,558.18,438.35,0.76,124,93280,,,,,,
20050816:0900,2005,08,16,09,14,643.55,169.75,30.16,65.6,555.07,438.75,1.1,164,93200,,,,,,
20050816:1000,2005,08,16,10,15,486.5,172.75,30.38,63.6,426.9,439.1,1.17,174,93130,,,,,,
20050816:1100,2005,08,16,11,16,277.35,87.05,30.31,65.6,330.81,446.3,1.1,122,93100,,,,,,
20050816:1200,2005,08,16,12,17,120.7,60.6,29.97,65.6,155.95,444.15,1.45,104,93060,,,,,,
20050816:1300,2005,08,16,13,18,25.3,17.35,29.2,69.85,44.59,433.7,1.17,133,93080,,,,,,
20050816:1400,2005,08,16,14,19,0,0,28.57,72.1,0,431.55,0.41,116,93090,,,,,,
20050816:1500,2005,08,16,15,20,0,0,27.63,81.95,0,424.2,0.76,98,93150,,,,,,
20050816:1600,2005,08,16,16,21,0,0,27.01,84.6,0,421.7,1.17,100,93210,,,,,,
20050816:1700,2005,08,16,17,22,0,0,26.34,84.55,0,418,1.66,93,93240,,,,,,
20050816:1800,2005,08,16,18,23,0,0,25.32,87.3,0,432.35,1.72,76,93250,,,,,,
20050816:1900,2005,08,16,19,0,0,0,25.05,90.15,0,429.65,1.24,54,93260,,,,,,
20050816:2000,2005,08,16,20,1,0,0,24.19,93.1,0,429.45,2.14,51,93280,,,,,,
20050816:2100,2005,08,16,21,2,0,0,23.61,93.05,0,425.55,1.66,54,93260,,,,,,
20050816:2200,2005,08,16,22,3,0,0,23.22,90.05,0,428.45,1.24,44,93260,,,,,,
20050816:2300,2005,08,16,23,4,0,0,23.07,90.05,0,434.85,1.1,33,93260,,,,,,
20050817:0000,2005,08,17,00,5,0,0,22.89,90.05,0,432.75,0.9,34,93250,,,,,,
20050817:0100,2005,08,17,01,6,31.45,29.1,22.91,90.05,27.81,430.15,0.14,125,93300,,,,,,
20050817:0200,2005,08,17,02,7,65.95,63.5,23.04,90.05,8.31,422.3,0.62,184,93350,,,,,,
20050817:0300,2005,08,17,03,8,320.25,182.5,23.01,87.1,278.74,424.8,0.34,252,93380,,,,,,
20050817:0400,2005,08,17,04,9,518.85,202.6,24.28,84.35,473.04,421.9,0.9,17,93380,,,,,,
20050817:0500,2005,08,17,05,10,483.75,255.25,26.48,71.75,283.44,421.7,0.69,48,93410,,,,,,
